full_fips_tract,count
14000US29047022100,400
14000US29095015500,189
14000US29095011300,130
14000US29095015100,119
14000US29037060800,86
14000US29047021602,84
14000US29095017500,67
14000US29165030700,66
14000US29095009600,59
14000US29095012400,58
14000US29095013405,57
14000US29095013804,57
14000US29037060402,56
14000US29095013401,56
14000US29095015000,56
14000US29095015200,56
14000US29047022200,49
14000US29095015800,49
14000US29095011100,43
14000US29165030101,43
14000US29037061002,40
14000US29047020602,39
14000US29047021701,39
14000US29165980000,39
14000US29095004400,37
14000US29095017100,36
14000US29165030201,35
14000US29095016300,34
14000US29095013502,33
14000US29165030601,33
14000US29095013606,30
14000US29095013918,30
14000US29047021806,29
14000US29095013803,28
14000US29165030002,28
14000US29165030103,28
14000US29037061100,27
14000US29037061001,25
14000US29095017700,25
14000US29095012200,24
14000US29095011406,23
14000US29175490100,23
14000US29095017400,21
14000US29037060004,20
14000US29095007802,20
14000US29095011408,20
14000US29095014205,20
14000US29037060904,19
14000US29095004300,19
14000US29037060700,18
14000US29095013904,18
14000US29095017900,18
14000US29095007100,17
14000US29095016000,16
14000US29165030214,16
14000US29037061400,15
14000US29165030310,15
14000US29047021401,14
14000US29095007400,14
14000US29095012703,14
14000US54095961900,14
14000US29095002000,13
14000US29095013003,13
14000US29095014128,13
14000US29047021809,12
14000US29095001900,12
14000US29095008700,12
14000US29095011001,12
14000US29095008600,11
14000US29095010204,11
14000US29095011410,11
14000US29095011702,11
14000US29095005801,10
14000US29095013902,10
14000US29095014008,10
NA,10
14000US29095010105,9
14000US29095011409,9
14000US29095013301,9
14000US29095013917,9
14000US29047021309,8
14000US29095002300,8
14000US29095011701,8
14000US29095014122,8
14000US29095014701,8
14000US29047021704,7
14000US29095006900,7
14000US29095009500,7
14000US29095013100,7
14000US29095014127,7
14000US29095014300,7
14000US29095015701,7
14000US29095016100,7
14000US29095017200,7
14000US29165030211,7
14000US29211480200,7
14000US29047021103,6
14000US29095010500,6
14000US29095014501,6
14000US29095014702,6
14000US29095015402,6
14000US29095016801,6
14000US29095017300,6
14000US29037060602,5
14000US29037061200,5
14000US29047020803,5
14000US29047021403,5
14000US29047022000,5
14000US29095005100,5
14000US29095011601,5
14000US29095012501,5
14000US29095012502,5
14000US29095013416,5
14000US29095014601,5
14000US29165030308,5
14000US29165030602,5
14000US29033960100,4
14000US29047020202,4
14000US29047020300,4
14000US29047020802,4
14000US29047021004,4
14000US29047021703,4
14000US29047021807,4
14000US29095000300,4
14000US29095004600,4
14000US29095006300,4
14000US29095010001,4
14000US29095013707,4
14000US29095014005,4
14000US29097011100,4
14000US29037060308,3
14000US29037060500,3
14000US29047020201,3
14000US29047021001,3
14000US29047021101,3
14000US29047021811,3
14000US29047021900,3
14000US29047022302,3
14000US29083950500,3
14000US29095001800,3
14000US29095002100,3
14000US29095006500,3
14000US29095011002,3
14000US29095012600,3
14000US29095014009,3
14000US29095014903,3
14000US29095015300,3
14000US29095015600,3
14000US29095017600,3
14000US29095018101,3
14000US29095989100,3
14000US29037060601,2
14000US29047020901,2
14000US29047021808,2
14000US29047022301,2
14000US29095000800,2
14000US29095005200,2
14000US29095006700,2
14000US29095009200,2
14000US29095009400,2
14000US29095010103,2
14000US29095010201,2
14000US29095010702,2
14000US29095012300,2
14000US29095013307,2
14000US29095013309,2
14000US29095013407,2
14000US29095013410,2
14000US29095014125,2
14000US29095014603,2
14000US29095014806,2
14000US29095014905,2
14000US29095015401,2
14000US29095015900,2
14000US29095016400,2
14000US29095017000,2
14000US29095019302,2
14000US29165030207,2
14000US29165030401,2
14000US29175490600,2
14000US29025950202,1
14000US29037060202,1
14000US29047020604,1
14000US29047021208,1
14000US29047021212,1
14000US29047021213,1
14000US29047021307,1
14000US29047021313,1
14000US29071800604,1
14000US29095006000,1
14000US29095007900,1
14000US29095008200,1
14000US29095008300,1
14000US29095008800,1
14000US29095009300,1
14000US29095009900,1
14000US29095010600,1
14000US29095011407,1
14000US29095011602,1
14000US29095011900,1
14000US29095012000,1
14000US29095012903,1
14000US29095013313,1
14000US29095013504,1
14000US29095013613,1
14000US29095013706,1
14000US29095013708,1
14000US29095013801,1
14000US29095014124,1
14000US29095014126,1
14000US29095014400,1
14000US29095014804,1
14000US29095014904,1
14000US29095016200,1
14000US29095016500,1
14000US29095018500,1
14000US29095980101,1
14000US29165030309,1
14000US29165030502,1
14000US29179380100,1